object,total_score,total_instances,remove_y,removal_reason,rename,class,is_name_class,synonym_s_or_original_o,synonym_of
Happiness,0.795,1,y,non_descript,-,-,-,-,-
Iron,0.795,1,-,-,-,Material,-,s,Metal
Bumper,0.79,1,-,-,-,Transport,-,s,Car
Individual_Sport,0.788,1,-,-,-,Sports,-,s,Sports
Carpet,0.787,1,-,-,-,Home,-,o,-
Clinic,0.783,1,-,-,-,Medicine,-,o,-
Lawn,0.774,1,-,-,-,Nature,-,o,-
Rapid_Transit,0.77,1,-,-,-,Transport,-,s,Public_Transport
Hubcap,0.761,1,-,-,-,Transport,-,s,Car
Plumbing_Fixture,0.751,1,-,Plumbing,Interior_Design,-,o,-,
Natural_Material,0.737,1,-,-,-,Material,-,o,-
Game_Controller,0.732,1,-,-,-,Tech,-,s,Video_Games
Sports_Venue,0.723,1,-,-,-,Sports,-,o,-
Bathtub,0.712,1,-,-,-,Interior_Design,-,o,-
Racketlon,0.711,1,-,-,-,Sports,-,o,-
Baluster,0.7,1,-,-,-,Interior_Design,-,o,-
Net_Sport,0.694,1,-,-,-,Sports,-,o,-
Balance,0.691,1,y,non_descript,-,-,-,-,-
Nintendo_3ds,0.685,1,-,-,-,Tech,-,s,Video_Games
Rolling,0.679,1,y,non_descript,-,-,-,-,-
Vase,0.679,1,-,-,-,Home,-,o,-
Wii,0.674,1,-,-,-,Tech,-,s,Video_Games
Advertising,0.671,1,-,-,-,Media,-,o,-
Building_Material,0.661,1,-,-,-,Material,-,o,-
Plastic,0.658,1,-,-,-,Material,-,o,-
Yoga,0.649,1,-,-,-,Fitness,-,o,-
Steel,0.647,1,-,-,-,Material,-,s,Metal
Box,0.643,1,-,-,-,Shape,-,o,-
Yard,0.639,1,-,-,-,Home,-,o,-
Landscaping,0.638,1,-,-,-,Home,-,o,-
Evergreen,0.636,1,-,-,-,Nature,-,s,Tree
Villa,0.634,1,-,-,-,City,-,o,-
Bathroom,0.613,1,-,-,-,Interior_Design,-,o,-
Cafeteria,0.612,1,-,-,-,City,-,o,-
Laptop,0.611,1,-,-,-,Tech,-,s,Computer
Floral_Design,0.607,1,-,-,-,Design,-,o,-
Space_Bar,0.605,1,-,-,-,Tech,-,o,-
Backyard,0.592,1,-,-,-,Home,-,o,-
Corporate_Headquarters,0.582,1,-,-,-,City,-,s,Headquarters
Aloes,0.581,1,-,-,-,Nature,-,s,Plant
Plumbing,0.57,1,-,-,-,Interior_Design,-,s,Plumbing_Fixture
Human_Back,0.568,1,-,-,-,Person,-,o,-
Software,0.567,1,-,-,-,Tech,-,o,-
Foot,0.56,1,-,-,-,Person,-,o,-
Rail_Transport,0.552,1,-,-,-,Transport,-,s,Public_Transport
Courtyard,0.545,1,-,-,-,City,-,o,-
Medical,0.544,1,-,-,-,Medicine,-,o,-
Bamboo,0.541,1,-,-,-,Nature,-,o,-
Armrest,0.539,1,-,-,-,Home,-,s,Chair
Training,0.524,1,-,-,-,Fitness,-,o,-
Hip,0.523,1,-,-,-,Person,-,o,-
Sofa_Bed,0.517,1,-,-,-,Home,-,s,Couch
Feature_Phone,0.515,1,-,-,-,Tech,-,s,Phone
Flat-Panel_Display,0.515,1,-,-,-,Tech,-,s,Electronic_Device
Waiting_Room,0.515,1,-,-,-,Medicine,-,o,-
Sedges,0.513,1,-,-,-,Nature,-,o,-
Walkway,0.506,1,-,-,-,City,-,o,-
3d_Modeling,0.503,1,-,-,-,Design,-,o,-
Aluminium,0.501,1,-,-,-,Material,-,s,Metal
