object,total_score,total_instances,remove_y,removal_reason,rename,class,is_name_class,synonym_s_or_original_o,synonym_of
Output_Device,0.714,1,-,-,-,Tech,-,s,Electronic_Device
Electronics,0.713,1,-,-,-,Tech,-,s,Electronic_Device
Fish,0.707,1,-,-,-,Aquatic,-,o,-
Chair,0.703,1,-,-,-,Home,-,o,-
Multimedia,0.696,1,-,-,-,Media,-,o,-
Body_Jewelry,0.691,1,-,-,-,Fashion,-,o,-
Atlas,0.687,1,-,-,-,Space,-,s,Map
Laundry_Detergent,0.685,1,-,-,-,Home,-,s,Laundry_Supplies
Natural_Material,0.684,1,-,-,-,Material,-,o,-
Artificial_Island,0.677,1,y,non_descript,-,-,-,-,-
Health_Care,0.674,1,-,-,-,Medicine,-,s,Medical
Intersection,0.65,1,-,-,-,City,-,o,-
Daylighting,0.645,1,-,-,-,Weather,-,s,Sunlight
Medical,0.632,1,-,-,-,Medicine,-,o,-
Analgesic,0.628,1,-,-,-,Medicine,-,o,-
Nail,0.627,1,-,-,-,Hand,-,s,Finger
Macro_Photography,0.625,1,-,-,-,Nature,-,o,-
Personal_Care,0.62,1,y,non_descript,-,-,-,-,-
Marine_Biology,0.614,1,-,-,-,Science,-,o,-
Transparency,0.613,1,-,-,-,Material,-,o,-
Wristband,0.609,1,-,-,-,Fashion,-,s,Bracelet
Laundry_Supply,0.606,1,-,Laundry_Supplies,Home,-,o,-,
Precipitation,0.6,1,-,-,-,Weather,-,o,-
Cleanliness,0.598,1,y,non_descript,-,-,-,-,-
Watch,0.595,1,-,-,-,Fashion,-,o,-
Evergreen,0.593,1,-,-,-,Nature,-,s,Tree
Household_Cleaning_Supply,0.586,1,-,Household_Cleaning_Supplies,Home,-,s,-,
Headquarters,0.57,1,-,-,-,City,-,s,Commercial_Building
Publication,0.569,1,-,-,-,Science,-,o,-
Bird,0.564,1,-,-,-,Nature,-,o,-
Solvent_In_Chemical_Reactions,0.56,1,-,Chemical_Reaction,Science,-,o,-,
Green_Algae,0.553,1,-,Algae,Aquatic,-,o,-,
Retail,0.552,1,-,-,-,City,-,o,-
Farm,0.551,1,-,-,-,Farming,-,o,-
Nutraceutical,0.542,1,-,-,-,Medicine,-,s,Pill
Jewelry_Making,0.522,1,-,Homemade_Jewelry,Fashion,-,o,-,
Flight,0.521,1,-,-,-,City,-,o,-
Stimulant,0.517,1,-,-,-,Medicine,-,o,-
Gemstone,0.506,1,-,-,-,Fashion,-,o,-
List_Of_Peninsulas,0.502,1,-,Peninsula,Space,-,o,-,
Stock_Photography,0.5,1,y,non_descript,-,-,-,-,-
